序号,年份,月,日,日期,标题,阅读数,获得点赞数,涉及领域,具体分类,消息来源,正面/负面,态度等级,新闻发生地点/相关提及地区,报纸
1,2015,9,1,2015/9/1,北京阅兵盛邀下的东盟各国面面观 ,3817,8,政治,政府行为,综合,正,客观中立,北京,xingxie
2,2015,9,1,2015/9/1,黄衣炸弹客被捕！携中土两国护照 | 曼谷爆炸案追踪 ,19242,42,社会,公共安全,泰国星暹传媒 等多家媒体,负,批判,曼谷,xingxie
3,2015,9,2,2015/9/2,北京阅兵千万不可错过的15大看点【最全】！！！,3288,9,政治,政府形象,综合,正,称赞,北京,xingxie
4,2015,9,3,2015/9/3,重大！曼谷爆炸案中国籍嫌犯被泰国法庭正式批捕,11309,22,社会,公共安全,泰国星暹传媒 等多家媒体,负,批判,曼谷,xingxie
5,2015,9,3,2015/9/3,中国抗战阅兵泰侨英灵永存-胜者的丰碑,1575,19,政治,中泰关系,原创,正,称赞,北京-曼谷,xingxie
6,2015,9,4,2015/9/4,“靡不有初，鲜克有终”-习近平演讲为何引用此句,2158,17,政治,领导人,综合,正,称赞,北京-曼谷,xingxie
7,2015,9,4,2015/9/4,2中国女游客泰国芭提雅阁兰岛遭性侵,7253,11,社会,突发事故,综合,负,客观中立,芭提雅,xingxie
8,2015,9,6,2015/9/6,航班延误中国游客高唱国歌大闹曼谷机场,5890,14,社会,旅游行为,综合,负,批判,重庆-曼谷,xingxie
9,2015,9,6,2015/9/6,大国阅兵泰国网友怎么看？,5024,18,政治,政府形象,原创,正,称赞,北京-曼谷,xingxie
10,2015,9,7,2015/9/7,真爱！中国粉丝专程飞来泰国看Mai的电影,1921,5,文化,影视/娱乐,泰国星暹传媒,正,称赞,none,xingxie
11,2015,9,8,2015/9/8,星暹评论|游客的国歌，不要太吓人,7532,45,社会,旅游行为,原创,负,批判,曼谷,xingxie
12,2015,9,9,2015/9/9,星暹评论|游客的国歌不要太吓人（下）,3056,23,社会,旅游行为,原创,负,批判,曼谷,xingxie
13,2015,9,1,2015/9/1,来泰记住这8条从此不用闹机场,5528,5,社会,旅游形象,泰国星暹传媒,负,批判,none,xingxie
14,2015,9,11,2015/9/11,第56届曼谷珠宝展现中国大盗,10988,34,社会,突发事故,综合,负,批判,曼谷,xingxie
15,2015,9,11,2015/9/11,中国驻泰使馆提醒：做文明出彩中国人,1919,12,社会,旅游形象,综合,正,批判,none,xingxie
16,2015,9,11,2015/9/11,曼谷爆案疑犯潜回中国泰国总理：中国先抓人，泰国才引渡,10457,29,政治,中泰关系,综合,负,批判,曼谷,xingxie
17,2015,9,12,2015/9/12,骗子落网竟拿着赃款到泰国旅游,2710,8,社会,旅游形象,综合,负,批判,福州-曼谷,xingxie
18,2015,9,12,2015/9/12,中国偷盗珠宝团伙共有12人,3910,11,社会,突发事故,综合,负,批判,曼谷,xingxie
19,2015,9,12,2015/9/12,泰机场闹事游客中4人被列入不文明记录,2649,45,社会,旅游行为,综合,负,批判,重庆-曼谷,xingxie
20,2015,9,14,2015/9/14,巴育：国庆假期要加大对中国大使馆的维安,1665,8,社会,公共安全,综合,正,批判,none,xingxie
21,2015,9,15,2015/9/15,泰国警方证实：曼谷爆炸与维族偷渡有关,7550,24,政治,政府行为,综合,负,批判,曼谷,xingxie
22,2015,9,15,2015/9/15,白庙主人不满中国女孩白庙侧卧写真照,6140,23,社会,旅游行为,综合,负,批判,清莱府,xingxie
23,2015,9,15,2015/9/15,中泰警方联手破获新型网络传销案件,1736,8,社会,公共安全,综合,正,客观中立,连云港-泰国,xingxie
24,2015,9,16,2015/9/16,这三位人气偶像男星，最近在中国B站火得一塌糊涂,2480,4,文化,影视/娱乐,综合,正,称赞,none,xingxie
25,2015,9,16,2015/9/16,白庙与“白蛇精”的搭配问题,2550,10,社会,旅游行为,原创,负,客观中立,none,xingxie
26,2015,9,16,2015/9/16,星暹评论|中泰一家亲，要靠花千骨,2860,22,文化,影视/娱乐,原创,正,客观中立,none,xingxie
27,2015,9,18,2015/9/18,第12届中国-东盟博览会开幕,817,3,经济,国际经济合作,综合,正,称赞,南宁,xingxie
28,2015,9,2,2015/9/2,采购条件偏向中国公司？交通部要求铁路机构澄清采购欺诈传闻,965,7,经济,进出口/投资,综合,负,客观中立,none,xingxie
29,2015,9,2,2015/9/2,"泰国副总理:我是""中国粉""",2208,17,政治,领导人,国际在线,正,称赞,南宁,xingxie
30,2015,9,21,2015/9/21,泰以更多优惠谋求与中国合作,1378,5,经济,经济形势,广西日报,正,称赞,南宁,xingxie
31,2015,9,21,2015/9/21,网曝中国团导游在玉佛寺拿旗指壁画,2735,4,社会,旅游行为,综合,负,批判,曼谷,xingxie
32,2015,9,21,2015/9/21,中国东盟和谐共处惠及20亿人,1614,10,经济,经济政策,综合,正,称赞,none,xingxie
33,2015,9,22,2015/9/22,任达华称泰国爆炸是个案米雪献舞四面佛,21872,67,文化,影视/娱乐,综合,正,客观中立,曼谷,xingxie
34,2015,9,23,2015/9/23,泰国巨星Pong又有新中国电视剧了！,1852,6,文化,影视/娱乐,综合,正,称赞,none,xingxie
35,2015,9,23,2015/9/23,泰国外长：在中国感受到家的感觉,1811,11,政治,中泰关系,新京报,正,称赞,none,xingxie
36,2015,9,23,2015/9/23,注意！！！中国驻泰国大使馆发国庆旅游提醒啦！,11372,35,社会,旅游形象,中新网,正,客观中立,none,xingxie
37,2015,9,25,2015/9/25,阿里继续深化跨境电商战略进军泰国曼谷,1085,4,经济,进出口/投资,综合,正,客观中立,曼谷,xingxie
38,2015,9,25,2015/9/25,明年2万中国员工再访泰,2475,10,经济,经济政策,综合,正,客观中立,none,xingxie
39,2015,9,26,2015/9/26,曼谷爆炸重伤小伙郑玖开口叫妈妈,1887,11,社会,公共安全,新华国际客户端独家报道,正,称赞,曼谷,xingxie
40,2015,9,28,2015/9/28,中国驻泰大使强调铁路共赢,1173,7,经济,国际经济合作,中新社,正,客观中立,none,xingxie
41,2015,9,3,2015/9/3,曼谷爆炸案警示：大陆游客出游多无保险,1862,8,社会,公共安全,综合,正,客观中立,香港-曼谷,xingxie
42,2015,9,3,2015/9/3,银联卡境外取现：每年不得超十万元,2023,10,经济,金融/货币/利率相关,综合,正,客观中立,none,xingxie
